,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"scirpus cyperinus
",4 – 10 What's My Zone?,,"Aquatic Plants, Ornamental Grasses, Perennials",,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",3' – 5' (90cm – 150cm),2' – 4' (60cm – 120cm),High,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral",Poorly Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Montana, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Banks and Slopes, Bog Gardens, Ponds and Streams, Rain Gardens, Water Gardens","Informal and Cottage, Prairie and Meadow",,Birds,"24"" – 48"" (60cm – 120cm)",
"scutellaria incana
",5 – 8 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Rabbit, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,"18"" – 24"" (45cm – 60cm)",6 – 8 What's My Zone?
"sedum ternatum
",4 – 8 What's My Zone?,,Perennials,Sedum - Stonecrops,Partial Sun,"Spring (Mid,Late)Summer (Early)","3"" – 6"" (7cm – 15cm)","6"" – 9"" (15cm – 22cm)","Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought, Rabbit, Dry Soil",Ground Covers,Gravel and Rock Garden,,,"12"" (30cm)",
"senna marilandica
",4 – 9 What's My Zone?,,Perennials,,Full Sun,"Summer (Mid,Late)",3' – 6' (90cm – 180cm),2' – 3' (60cm – 90cm),Average,Low,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Delaware, Maryland, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Clay Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Birds,"24"" – 36"" (60cm – 90cm)",
"serenoa repens
",8 – 11 What's My Zone?,,Palms - Cycads,Palms - Cycads,"Full Sun, Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",5' – 10' (150cm – 3m),4' – 10' (120cm – 3m),"Low, Average",Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, South Carolina","Drought, Salt","Beds and Borders, Ground Covers, Hedges and Screens, Rain Gardens",Mediterranean Garden,,,"36"" – 60"" (90cm – 150cm)",9 – 12 What's My Zone?
"sesuvium portulacastrum
",9 – 13 What's My Zone?,,Perennials,Portulaca,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter","6"" – 1' (15cm – 30cm)",3' – 5' (90cm – 150cm),Low,Low,Sand,"Acid, Alkaline, Neutral",Well-Drained,Evergreen,"United States, Northeast, Pennsylvania, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Southwest, Texas","Drought, Salt","Ground Covers, Hanging Baskets, Patio and Containers",Coastal Garden,,,"36"" – 60"" (90cm – 150cm)",
"silene caroliniana
",5 – 8 What's My Zone?,,Perennials,Silene - Campions,"Full Sun, Partial Sun","Spring (Mid,Late)","10"" – 1' (25cm – 30cm)","10"" – 1' (25cm – 30cm)",Low,Low,"Chalk, Loam, Sand","Alkaline, Neutral",Well-Drained,"Showy, Semi-Evergreen","United States, Midwest, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Florida, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Drought, Dry Soil, Rocky Soil","Beds and Borders, Ground Covers","Gravel and Rock Garden, Prairie and Meadow",,"Butterflies, Hummingbirds","12"" (30cm)",
"silene regia
",5 – 8 What's My Zone?,,Perennials,Silene - Campions,"Full Sun, Partial Sun","Spring (Late)Summer (Mid,Late)",3' – 4' (90cm – 120cm),1' – 2' (30cm – 60cm),Low,Low,"Chalk, Loam, Sand","Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Kansas, Missouri, Ohio, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Tennessee, Southwest, Oklahoma","Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","24"" (60cm)",
"silene stellata
",5 – 8 What's My Zone?,,Perennials,Silene - Campions,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,"24"" (60cm)",
"silene virginica
",4 – 8 What's My Zone?,,Perennials,Silene - Campions,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early)",1' – 2' (30cm – 60cm),"10"" – 2' (25cm – 60cm)",Low,Low,"Chalk, Clay, Loam, Sand","Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Delaware, Maryland, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","18"" (45cm)",
"silphium integrifolium
",4 – 8 What's My Zone?,,Perennials,Silphium,Full Sun,"Summer (Mid,Late)Fall",2' – 6' (60cm – 180cm),1' – 3' (30cm – 90cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin, Rocky Mountains, Colorado, Wyoming, Southeast, Alabama, Arkansas, Kentucky, Louisiana, Mississippi, Tennessee, Southwest, New Mexico, Oklahoma, Texas","Clay Soil, Drought, Dry Soil",Beds and Borders,Prairie and Meadow,,"Birds, Butterflies","24"" – 36"" (60cm – 90cm)",
"silphium laciniatum
",5 – 9 What's My Zone?,,Perennials,Silphium,Full Sun,"Summer (Mid,Late)Fall",5' – 9' (150cm – 270cm),2' – 3' (60cm – 90cm),"Low, Average",Low,"Clay, Loam","Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, New York, Pennsylvania, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Kentucky, Louisiana, Mississippi, Tennessee, Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",5 – 9 What's My Zone?
"silphium perfoliatum
",3 – 9 What's My Zone?,,Perennials,Silphium,Full Sun,"Summer (Mid,Late)Fall",4' – 8' (120cm – 240cm),1' – 3' (30cm – 90cm),Average,Low,Loam,"Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Drought, Wet Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
"silphium terebinthinaceum
",4 – 8 What's My Zone?,,Perennials,Silphium,Full Sun,"Summer (Mid,Late)Fall",3' – 10' (90cm – 3m),1' – 3' (30cm – 90cm),Average,Low,"Clay, Loam","Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Missouri, Ohio, Wisconsin, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Clay Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Birds,"36"" (90cm)",
"sisyrinchium angustifolium
",4 – 11 What's My Zone?,"4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Sisyrinchium,"Full Sun, Partial Sun",Spring (Late)Summer (Early),1' – 2' (30cm – 60cm),"6"" – 1' (15cm – 30cm)",Average,Average,"Chalk, Loam, Sand","Acid, Neutral",Well-Drained,"Showy, Semi-Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Beds and Borders, Edging, Ground Covers, Patio and Containers","City and Courtyard, Gravel and Rock Garden, Informal and Cottage",,,"12"" (30cm)",5 – 8 What's My Zone?
"sisyrinchium mucronatum
",3 – 8 What's My Zone?,,Perennials,Sisyrinchium,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid)","6"" – 2' (15cm – 60cm)","6"" – 8"" (15cm – 20cm)",Average,Low,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Michigan, Minnesota, North Dakota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Beds and Borders, Ground Covers, Ponds and Streams",Informal and Cottage,"6"" – 8"" (15cm – 20cm)",,,
"solidago altissima
",5 – 10 What's My Zone?,,Perennials,Solidago - Goldenrods,"Full Sun, Partial Sun",Fall,2' – 6' (60cm – 180cm),,"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Montana, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,
"solidago bicolor
",5 – 10 What's My Zone?,,Perennials,Solidago - Goldenrods,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",1' – 3' (30cm – 90cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","12"" – 18"" (30cm – 45cm)",
"solidago caesia
",4 – 8 What's My Zone?,,Perennials,Solidago - Goldenrods,"Full Sun, Partial Sun",Summer (Late)Fall,1' – 3' (30cm – 90cm),1' – 3' (30cm – 90cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Deer, Drought",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","18"" – 36"" (45cm – 90cm)",
"solidago gigantea
",3 – 8 What's My Zone?,,Perennials,Solidago - Goldenrods,Full Sun,Summer (Late)Fall,3' – 7' (90cm – 210cm),2' – 6' (60cm – 180cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive",Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, New Mexico, Oklahoma, Texas",,,Prairie and Meadow,,"Birds, Butterflies","60"" – 72"" (150cm – 180cm)",
"solidago nemoralis
",3 – 9 What's My Zone?,,Perennials,Solidago - Goldenrods,Full Sun,"Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Montana, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" – 24"" (45cm – 60cm)",
"solidago odora
",4 – 10 What's My Zone?,,Perennials,Solidago - Goldenrods,Full Sun,"Summer (Mid,Late)Fall",2' – 4' (60cm – 120cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,"Fragrant, Showy","United States, Midwest, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","24"" (60cm)",
"solidago rugosa
",4 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",Perennials,Solidago - Goldenrods,Full Sun,Summer (Late)Fall,3' – 5' (90cm – 150cm),3' – 5' (90cm – 150cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Wet Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","48"" – 60"" (120cm – 150cm)",4 – 9 What's My Zone?
"solidago sempervirens
",3 – 10 What's My Zone?,,Perennials,Solidago - Goldenrods,Full Sun,Summer (Late)Fall,2' – 8' (60cm – 240cm),2' – 3' (60cm – 90cm),"Low, Average",Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen","United States, Midwest, Illinois, Indiana, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas","Deer, Drought, Salt",,Coastal Garden,,"Birds, Butterflies","24"" – 36"" (60cm – 90cm)",
"solidago speciosa
",3 – 8 What's My Zone?,,Perennials,Solidago - Goldenrods,Full Sun,Summer (Late)Fall,3' – 5' (90cm – 150cm),3' – 4' (90cm – 120cm),"Low, Average",Average,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" – 48"" (90cm – 120cm)",
"sorghastrum nutans
",4 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Ornamental Grasses,,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",3' – 5' (90cm – 150cm),1' – 2' (30cm – 60cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil, Rocky Soil",Banks and Slopes,"Informal and Cottage, Prairie and Meadow",,Birds,"18"" – 24"" (45cm – 60cm)",
